id_p,palabra_p,emocion_p,tecla_correcta_p,thisN,thisTrialN,thisRepN,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.duration,id,imagen,emocion,tecla_correcta,key_resp_experimental.keys,key_resp_experimental.corr,key_resp_experimental.rt,key_resp_experimental.duration,loop_practica.thisRepN,loop_practica.thisTrialN,loop_practica.thisN,loop_practica.thisIndex,loop_experimental.thisRepN,loop_experimental.thisTrialN,loop_experimental.thisN,loop_experimental.thisIndex,thisRow.t,notes,piloting,instrucciones.started,instructioness_txt.started,key_resp.started,instrucciones.stopped,key_resp.keys,key_resp.rt,key_resp.duration,inicio_practica.started,inicio_fase_practica_txt.started,key_resp_2.started,inicio_practica.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,practica.started,fix_cross_practice.started,palabra_txt.started,key_resp_practice.started,fix_cross_practice.stopped,practica.stopped,loop_practica.key_resp_practice.keys,loop_practica.key_resp_practice.corr,loop_practica.key_resp_practice.rt,loop_practica.key_resp_practice.duration,feedback_practica.started,feedback_txt.started,feedback_txt.stopped,feedback_practica.stopped,fin_practica.started,fin_fase_practica_txt.started,key_resp_3.started,fin_practica.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,descanso.started,descanso_txt.started,descanso_txt.stopped,descanso.stopped,inicio_experimental.started,inicio_fase_experimental_txt.started,key_resp_4.started,inicio_experimental.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,experimental.started,fix_cross_experimental.started,imagen_experiemental.started,key_resp_experimental.started,fix_cross_experimental.stopped,experimental.stopped,loop_experimental.key_resp_experimental.keys,loop_experimental.key_resp_experimental.corr,loop_experimental.key_resp_experimental.rt,loop_experimental.key_resp_experimental.duration,ITI.started,iti_txt.started,iti_txt.stopped,ITI.stopped,fin_experimento.started,fin_experimento_txt.started,fin_experimento_txt.stopped,fin_experimento.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0024561000027460977,0.006482000011601485,0.006482000011601485,1.3128294000052847,space,1.2950032000080682,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2026-03-20_10h51.07.197,categorizacion_emocional,,2026.1.2,143.03696073777334,2026-03-20 10h51.07.575515 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3128948000085074,1.3170586000051117,1.3170586000051117,1.684141300007468,space,0.3601468999986537,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2026-03-20_10h51.07.197,categorizacion_emocional,,2026.1.2,143.03696073777334,2026-03-20 10h51.07.575515 -0500,
4,TRISTEZA,tristeza,g,0,0,0,j,0,1.3268256999872392,None,,,,,,,,,0,0,0,3,,,,,1.7054534000053536,,,,,,,,,,,,,,,,,1.7007632000022568,1.7054534000053536,2.179885900011868,2.179885900011868,2.2008434000017587,3.5133515000052284,j,0,1.3268256999872392,None,3.5233221000089543,3.5267964000086067,4.517468800011557,4.5106085000006715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2026-03-20_10h51.07.197,categorizacion_emocional,,2026.1.2,143.03696073777334,2026-03-20 10h51.07.575515 -0500,
1,ALEGRÍA,alegria,f,1,1,0,f,1,0.8876752999931341,None,,,,,,,,,0,1,1,0,,,,,4.517468800011557,,,,,,,,,,,,,,,,,4.514334000006784,4.517468800011557,5.005408600001829,5.005408600001829,5.01243550000072,5.899062399999821,f,1,0.8876752999931341,None,5.904976400008309,5.907720300005167,6.9064187000039965,6.896084200008772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2026-03-20_10h51.07.197,categorizacion_emocional,,2026.1.2,143.03696073777334,2026-03-20 10h51.07.575515 -0500,
12,MIEDO,miedo,j,2,2,0,g,0,1.3330489000072703,None,,,,,,,,,0,2,2,11,,,,,6.9064187000039965,,,,,,,,,,,,,,,,,6.90449250000529,6.9064187000039965,7.390385900012916,7.390385900012916,7.397266600004514,8.729931900001247,g,0,1.3330489000072703,None,8.731672300011269,8.736117700012983,9.72631860000547,9.719774900004268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2026-03-20_10h51.07.197,categorizacion_emocional,,2026.1.2,143.03696073777334,2026-03-20 10h51.07.575515 -0500,
6,TRISTEZA,tristeza,g,3,3,0,j,0,0.9215029000042705,None,,,,,,,,,0,3,3,5,,,,,9.72631860000547,,,,,,,,,,,,,,,,,9.72111230000155,9.72631860000547,10.22150660000625,10.22150660000625,10.22150660000625,11.150097500008997,j,0,0.9215029000042705,None,11.150195800000802,11.155945100006647,12.146343700005673,12.140153200001805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2026-03-20_10h51.07.197,categorizacion_emocional,,2026.1.2,143.03696073777334,2026-03-20 10h51.07.575515 -0500,
3,ALEGRÍA,alegria,f,4,4,0,f,1,0.5703280000016093,None,,,,,,,,,0,4,4,2,,,,,12.146343700005673,,,,,,,,,,,,,,,,,12.143273900001077,12.146343700005673,12.641292400003294,12.641292400003294,12.641292400003294,13.216420400000061,f,1,0.5703280000016093,None,13.220127799999318,13.223035800008802,14.217146100010723,14.210948400010238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2026-03-20_10h51.07.197,categorizacion_emocional,,2026.1.2,143.03696073777334,2026-03-20 10h51.07.575515 -0500,
9,IRA,ira,h,5,5,0,j,0,1.1482748999987962,None,,,,,,,,,0,5,5,8,,,,,14.217146100010723,,,,,,,,,,,,,,,,,14.212391500012018,14.217146100010723,14.712294900004053,14.712294900004053,14.712294900004053,15.86450130000594,j,0,1.1482748999987962,None,15.866635600003065,15.869882700004382,16.860094300005585,16.85375570000906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2026-03-20_10h51.07.197,categorizacion_emocional,,2026.1.2,143.03696073777334,2026-03-20 10h51.07.575515 -0500,
10,MIEDO,miedo,j,6,6,0,g,0,1.2234119000058854,None,,,,,,,,,0,6,6,9,,,,,16.860094300005585,,,,,,,,,,,,,,,,,16.856421300006332,16.860094300005585,17.355237900002976,17.355237900002976,17.355237900002976,18.583916000003228,g,0,1.2234119000058854,None,18.5839924000029,18.589462400006596,19.57976690000214,19.573741700005485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2026-03-20_10h51.07.197,categorizacion_emocional,,2026.1.2,143.03696073777334,2026-03-20 10h51.07.575515 -0500,
11,MIEDO,miedo,j,7,7,0,h,0,0.5780002999963472,None,,,,,,,,,0,7,7,10,,,,,19.57976690000214,,,,,,,,,,,,,,,,,19.57400459999917,19.57976690000214,20.074807800003327,20.074807800003327,20.074807800003327,20.654722899998887,h,0,0.5780002999963472,None,20.654786300001433,20.660579300005338,21.6506980000122,21.644356000004336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2026-03-20_10h51.07.197,categorizacion_emocional,,2026.1.2,143.03696073777334,2026-03-20 10h51.07.575515 -0500,
